id,order_id,delivery_person_id,status,assigned_at,picked_up_at,delivered_at
1,1,5,delivered,11-01-2026 08:15,11-01-2026 08:25,11-01-2026 08:45
2,3,4,delivered,11-01-2026 08:15,11-01-2026 08:25,11-01-2026 08:45
3,4,6,delivered,11-01-2026 08:15,11-01-2026 08:25,11-01-2026 08:45
4,5,1,delivered,11-01-2026 08:15,11-01-2026 08:25,11-01-2026 08:45
5,6,5,delivered,11-01-2026 08:16,11-01-2026 08:26,11-01-2026 08:46
6,7,1,delivered,11-01-2026 08:16,11-01-2026 08:26,11-01-2026 08:46
7,8,4,delivered,11-01-2026 08:16,11-01-2026 08:26,11-01-2026 08:46
8,12,3,delivered,11-01-2026 08:17,11-01-2026 08:27,11-01-2026 08:47
9,14,5,delivered,11-01-2026 08:17,11-01-2026 08:27,11-01-2026 08:47
10,18,1,delivered,11-01-2026 08:17,11-01-2026 08:27,11-01-2026 08:47
11,19,1,delivered,11-01-2026 08:17,11-01-2026 08:27,11-01-2026 08:47
12,22,3,delivered,11-01-2026 08:18,11-01-2026 08:28,11-01-2026 08:48
13,23,2,delivered,11-01-2026 08:18,11-01-2026 08:28,11-01-2026 08:48
14,24,3,delivered,11-01-2026 08:19,11-01-2026 08:29,11-01-2026 08:49
15,25,1,delivered,11-01-2026 08:19,11-01-2026 08:29,11-01-2026 08:49
16,26,1,delivered,11-01-2026 08:19,11-01-2026 08:29,11-01-2026 08:49
17,29,4,delivered,11-01-2026 08:20,11-01-2026 08:30,11-01-2026 08:50
18,30,3,delivered,11-01-2026 08:20,11-01-2026 08:30,11-01-2026 08:50
19,31,5,delivered,11-01-2026 08:21,11-01-2026 08:31,11-01-2026 08:51
20,32,1,delivered,11-01-2026 08:21,11-01-2026 08:31,11-01-2026 08:51
21,33,6,delivered,11-01-2026 08:21,11-01-2026 08:31,11-01-2026 08:51
22,35,3,delivered,11-01-2026 08:21,11-01-2026 08:31,11-01-2026 08:51
23,37,2,delivered,11-01-2026 08:22,11-01-2026 08:32,11-01-2026 08:52
24,38,4,delivered,11-01-2026 08:22,11-01-2026 08:32,11-01-2026 08:52
25,40,2,delivered,11-01-2026 08:22,11-01-2026 08:32,11-01-2026 08:52
26,41,6,delivered,11-01-2026 08:22,11-01-2026 08:32,11-01-2026 08:52
27,44,4,delivered,11-01-2026 08:23,11-01-2026 08:33,11-01-2026 08:53
28,46,2,delivered,11-01-2026 08:23,11-01-2026 08:33,11-01-2026 08:53
29,47,1,delivered,11-01-2026 08:23,11-01-2026 08:33,11-01-2026 08:53
30,48,1,delivered,11-01-2026 08:23,11-01-2026 08:33,11-01-2026 08:53
31,50,4,delivered,11-01-2026 08:24,11-01-2026 08:34,11-01-2026 08:54
32,51,3,delivered,11-01-2026 08:24,11-01-2026 08:34,11-01-2026 08:54
33,52,1,delivered,11-01-2026 08:24,11-01-2026 08:34,11-01-2026 08:54
34,53,1,delivered,11-01-2026 08:25,11-01-2026 08:35,11-01-2026 08:55
35,55,2,delivered,11-01-2026 08:25,11-01-2026 08:35,11-01-2026 08:55
36,57,5,delivered,11-01-2026 08:25,11-01-2026 08:35,11-01-2026 08:55
37,58,5,delivered,11-01-2026 08:26,11-01-2026 08:36,11-01-2026 08:56
38,60,3,delivered,11-01-2026 08:26,11-01-2026 08:36,11-01-2026 08:56
39,65,2,delivered,11-01-2026 08:27,11-01-2026 08:37,11-01-2026 08:57
40,67,3,delivered,11-01-2026 08:27,11-01-2026 08:37,11-01-2026 08:57
41,71,3,delivered,11-01-2026 08:28,11-01-2026 08:38,11-01-2026 08:58
42,73,6,delivered,11-01-2026 08:29,11-01-2026 08:39,11-01-2026 08:59
43,76,1,delivered,11-01-2026 08:30,11-01-2026 08:40,11-01-2026 09:00
44,78,1,delivered,11-01-2026 08:30,11-01-2026 08:40,11-01-2026 09:00
45,80,6,delivered,11-01-2026 08:31,11-01-2026 08:41,11-01-2026 09:01
46,84,1,delivered,11-01-2026 08:32,11-01-2026 08:42,11-01-2026 09:02
47,88,6,delivered,11-01-2026 08:34,11-01-2026 08:44,11-01-2026 09:04
48,91,1,delivered,11-01-2026 08:35,11-01-2026 08:45,11-01-2026 09:05
49,92,2,delivered,11-01-2026 08:35,11-01-2026 08:45,11-01-2026 09:05
50,95,5,delivered,11-01-2026 08:36,11-01-2026 08:46,11-01-2026 09:06
51,97,3,delivered,11-01-2026 08:36,11-01-2026 08:46,11-01-2026 09:06
52,99,4,delivered,11-01-2026 08:36,11-01-2026 08:46,11-01-2026 09:06
53,100,2,delivered,11-01-2026 08:36,11-01-2026 08:46,11-01-2026 09:06
