id,name,unit,current_stock,reorder_level,cost_per_unit,,
1,Mango,kg,120.5,20,120,,
2,Watermelon,kg,150,30,60,,
3,Orange,kg,100,25,180,,
4,Green Apple,kg,80,15,250,,
5,Avocado,kg,40,10,800,,
6,Banana,piece,500,100,10,,
7,Strawberries,kg,30,5,900,,
8,Blueberries,kg,20,5,1500,,
9,Whole Milk,liter,200,40,90,,
10,Vanilla Ice Cream,liter,80,15,350,,
11,Chocolate Ice Cream,liter,80,15,380,,
12,Greek Yogurt,kg,50,10,450,,
13,Mint Leaves,gram,2000,500,1.5,,
14,Sugar,kg,100,20,130,,
15,Honey,liter,30,5,800,,
16,Ice Cubes,kg,500,100,20,,
17,Chicken Breast,kg,60,15,380,,
18,Multi-grain Bread,piece,200,40,15,,
19,Cheese Slices,piece,300,50,25,,
20,Lettuce,kg,25,5,200,,
