id,branch_id,table_number,capacity,status
1,1,T-01,6,available
2,1,T-02,6,available
3,1,T-03,6,available
4,1,T-04,4,occupied
5,1,T-05,4,available
6,1,T-06,4,available
7,1,T-07,4,reserved
8,1,T-08,2,occupied
9,1,T-09,4,occupied
10,1,T-10,2,available
11,2,T-01,4,available
12,2,T-02,2,available
13,2,T-03,6,occupied
14,2,T-04,2,occupied
15,2,T-05,2,available
16,2,T-06,4,occupied
17,2,T-07,2,reserved
18,2,T-08,6,occupied
19,2,T-09,6,available
20,2,T-10,6,occupied
21,3,T-01,2,available
22,3,T-02,4,available
23,3,T-03,2,available
24,3,T-04,4,occupied
25,3,T-05,6,available
26,3,T-06,4,available
27,3,T-07,4,reserved
28,3,T-08,4,available
29,3,T-09,2,reserved
30,3,T-10,4,available
