id,order_id,product_id,quantity,unit_price,discount,subtotal
1,1,2,3,150,0,450
2,1,3,1,200,20,180
3,2,19,2,200,0,400
4,2,1,2,180,40,320
5,2,2,3,150,0,450
6,3,17,3,250,0,750
7,3,9,1,220,0,220
8,3,2,3,150,0,450
9,4,10,3,200,60,540
10,4,1,1,180,20,160
11,4,12,3,250,60,690
12,5,4,1,220,0,220
13,5,18,1,300,20,280
14,5,10,2,200,40,360
15,6,16,2,220,0,440
16,6,19,1,200,0,200
17,6,4,3,220,0,660
18,7,12,1,250,20,230
19,7,5,2,280,60,500
20,8,12,1,250,20,230
21,8,13,1,160,0,160
22,8,7,1,250,0,250
23,9,3,2,200,40,360
24,9,20,2,320,60,580
25,10,2,2,150,0,300
26,10,7,1,250,0,250
27,11,17,2,250,0,500
28,11,12,1,250,20,230
29,12,15,1,190,0,190
30,12,7,2,250,0,500
31,12,2,2,150,0,300
32,12,9,2,220,0,440
33,13,7,1,250,0,250
34,13,12,1,250,20,230
35,13,9,2,220,0,440
36,14,5,2,280,60,500
37,15,17,1,250,0,250
38,15,6,1,300,30,270
39,16,15,2,190,0,380
40,17,7,3,250,0,750
41,18,15,2,190,0,380
42,19,18,2,300,40,560
43,19,12,2,250,40,460
44,20,19,3,200,0,600
45,20,6,3,300,90,810
46,20,1,1,180,20,160
47,20,2,2,150,0,300
48,21,15,2,190,0,380
49,21,4,1,220,0,220
50,22,14,2,180,40,320
51,23,4,2,220,0,440
52,23,17,2,250,0,500
53,23,13,3,160,0,480
54,23,19,2,200,0,400
55,24,8,1,260,0,260
56,24,14,2,180,40,320
57,25,19,2,200,0,400
58,25,13,1,160,0,160
59,26,2,1,150,0,150
60,26,13,2,160,0,320
61,27,5,1,280,30,250
62,27,18,1,300,20,280
63,27,12,1,250,20,230
64,28,2,3,150,0,450
65,29,16,2,220,0,440
66,29,19,2,200,0,400
67,29,10,2,200,40,360
68,29,17,3,250,0,750
69,30,7,2,250,0,500
70,30,12,3,250,60,690
71,31,18,2,300,40,560
72,31,15,1,190,0,190
73,31,11,3,240,0,720
74,31,2,1,150,0,150
75,32,18,1,300,20,280
76,32,15,2,190,0,380
77,33,3,3,200,60,540
78,34,20,3,320,90,870
79,34,4,2,220,0,440
80,34,6,1,300,30,270
81,34,16,1,220,0,220
82,35,19,3,200,0,600
83,35,15,3,190,0,570
84,35,4,1,220,0,220
85,36,3,3,200,60,540
86,37,14,3,180,60,480
87,37,15,3,190,0,570
88,37,2,3,150,0,450
89,38,6,1,300,30,270
90,39,19,1,200,0,200
91,39,17,3,250,0,750
92,39,15,1,190,0,190
93,40,5,3,280,90,750
94,41,6,1,300,30,270
95,41,15,3,190,0,570
96,42,16,1,220,0,220
97,42,14,3,180,60,480
98,42,12,2,250,40,460
99,43,2,1,150,0,150
100,44,9,2,220,0,440
101,45,10,1,200,20,180
102,45,11,3,240,0,720
103,46,1,3,180,60,480
104,47,3,1,200,20,180
105,47,7,3,250,0,750
106,48,1,1,180,20,160
107,49,17,3,250,0,750
108,49,14,3,180,60,480
109,50,20,2,320,60,580
110,50,8,2,260,0,520
111,51,2,3,150,0,450
112,52,15,2,190,0,380
113,52,8,1,260,0,260
114,52,4,2,220,0,440
115,53,1,2,180,40,320
116,54,3,1,200,20,180
117,55,6,3,300,90,810
118,56,11,3,240,0,720
119,56,15,3,190,0,570
120,56,14,2,180,40,320
121,57,15,3,190,0,570
122,58,8,3,260,0,780
123,58,20,1,320,30,290
124,58,16,2,220,0,440
125,59,20,1,320,30,290
126,60,12,1,250,20,230
127,61,10,1,200,20,180
128,61,7,2,250,0,500
129,61,19,3,200,0,600
130,62,3,2,200,40,360
131,62,9,1,220,0,220
132,62,7,1,250,0,250
133,62,5,2,280,60,500
134,63,19,1,200,0,200
135,63,4,2,220,0,440
136,64,10,3,200,60,540
137,64,2,2,150,0,300
138,65,11,2,240,0,480
139,65,15,3,190,0,570
140,65,17,1,250,0,250
141,66,13,2,160,0,320
142,66,17,1,250,0,250
143,66,9,1,220,0,220
144,66,11,3,240,0,720
145,67,20,2,320,60,580
146,67,15,2,190,0,380
147,67,9,3,220,0,660
148,68,5,3,280,90,750
149,68,20,1,320,30,290
150,69,2,3,150,0,450
151,69,20,1,320,30,290
152,69,6,3,300,90,810
153,70,5,2,280,60,500
154,70,18,2,300,40,560
155,70,17,1,250,0,250
156,70,4,3,220,0,660
157,71,10,2,200,40,360
158,71,16,2,220,0,440
159,72,15,1,190,0,190
160,72,14,1,180,20,160
161,72,10,3,200,60,540
162,72,20,2,320,60,580
163,73,2,1,150,0,150
164,74,8,1,260,0,260
165,74,6,1,300,30,270
166,75,16,2,220,0,440
167,75,12,2,250,40,460
168,75,10,1,200,20,180
169,75,13,3,160,0,480
170,76,3,1,200,20,180
171,76,15,2,190,0,380
172,77,8,2,260,0,520
173,77,18,1,300,20,280
174,77,15,1,190,0,190
175,78,11,2,240,0,480
176,78,14,3,180,60,480
177,78,17,1,250,0,250
178,79,8,1,260,0,260
179,79,7,1,250,0,250
180,79,11,1,240,0,240
181,80,1,3,180,60,480
182,80,2,1,150,0,150
183,81,11,3,240,0,720
184,81,18,1,300,20,280
185,81,1,2,180,40,320
186,82,10,2,200,40,360
187,82,15,2,190,0,380
188,82,17,2,250,0,500
189,82,16,1,220,0,220
190,83,2,1,150,0,150
191,83,16,1,220,0,220
192,84,11,2,240,0,480
193,85,18,3,300,60,840
194,85,10,1,200,20,180
195,85,11,2,240,0,480
196,85,4,3,220,0,660
197,86,19,3,200,0,600
198,86,9,3,220,0,660
199,86,6,3,300,90,810
200,87,20,3,320,90,870
201,87,16,3,220,0,660
202,88,4,3,220,0,660
203,89,11,1,240,0,240
204,89,3,1,200,20,180
205,90,17,3,250,0,750
206,90,5,3,280,90,750
207,91,8,1,260,0,260
208,91,1,2,180,40,320
209,91,20,3,320,90,870
210,91,4,3,220,0,660
211,92,19,1,200,0,200
212,92,10,1,200,20,180
213,92,14,2,180,40,320
214,92,5,3,280,90,750
215,93,16,3,220,0,660
216,93,9,3,220,0,660
217,93,17,1,250,0,250
218,93,7,2,250,0,500
219,94,19,3,200,0,600
220,94,6,2,300,60,540
221,94,15,2,190,0,380
222,94,4,3,220,0,660
223,95,9,3,220,0,660
224,95,11,2,240,0,480
225,95,14,2,180,40,320
226,96,16,3,220,0,660
227,96,15,1,190,0,190
228,97,17,1,250,0,250
229,97,9,3,220,0,660
230,97,19,2,200,0,400
231,97,12,1,250,20,230
232,98,1,1,180,20,160
233,98,11,1,240,0,240
234,98,4,3,220,0,660
235,99,14,2,180,40,320
236,99,16,1,220,0,220
237,99,18,1,300,20,280
238,99,13,3,160,0,480
239,100,8,3,260,0,780
240,100,4,1,220,0,220
