id,customer_id,branch_id,order_type,status,subtotal,delivery_fee,tax,total_amount,cancellation_reason,placed_at
1,4261,3,delivery,completed,630,60,29,669,,11-01-2026 08:00
2,3949,2,dine_in,completed,1170,0,53.5,1123.5,,11-01-2026 08:00
3,1320,1,delivery,completed,1420,60,71,1551,,11-01-2026 08:00
4,2277,3,delivery,completed,1390,60,69.5,1519.5,,11-01-2026 08:00
5,772,1,delivery,completed,860,60,40.5,910.5,,11-01-2026 08:00
6,1700,1,delivery,completed,1300,50,65,1415,,11-01-2026 08:01
7,1255,3,delivery,completed,730,60,36.5,826.5,,11-01-2026 08:01
8,4350,1,delivery,completed,640,60,29.5,679.5,,11-01-2026 08:01
9,314,1,dine_in,completed,940,0,44.5,934.5,,11-01-2026 08:01
10,1708,3,dine_in,completed,550,0,24,504,,11-01-2026 08:01
11,3757,1,dine_in,completed,730,0,31.5,661.5,,11-01-2026 08:02
12,1758,1,delivery,completed,1430,60,71.5,1561.5,,11-01-2026 08:02
13,3572,2,dine_in,completed,920,0,43.5,913.5,,11-01-2026 08:02
14,533,1,delivery,completed,500,50,22.5,522.5,,11-01-2026 08:02
15,3120,3,dine_in,completed,520,0,23.5,493.5,,11-01-2026 08:02
16,4132,1,dine_in,completed,380,0,14,294,,11-01-2026 08:02
17,3057,3,dine_in,completed,750,0,37.5,787.5,,11-01-2026 08:02
18,849,2,delivery,completed,380,60,19,459,,11-01-2026 08:02
19,587,2,delivery,completed,1020,60,51,1131,,11-01-2026 08:02
20,2713,2,dine_in,completed,1870,0,91,1911,,11-01-2026 08:02
21,2686,2,dine_in,completed,600,0,30,630,,11-01-2026 08:03
22,2169,3,delivery,completed,320,60,12.8,328.8,,11-01-2026 08:03
23,4891,1,delivery,completed,1820,60,91,1971,,11-01-2026 08:03
24,2577,2,delivery,completed,580,60,29,669,,11-01-2026 08:04
25,1135,3,delivery,completed,560,60,28,648,,11-01-2026 08:04
26,2755,2,delivery,completed,470,60,20,480,,11-01-2026 08:04
27,750,3,dine_in,completed,760,0,38,798,,11-01-2026 08:04
28,2695,2,dine_in,completed,450,0,20.25,425.25,,11-01-2026 08:05
29,313,3,delivery,completed,1950,60,92.5,2002.5,,11-01-2026 08:05
30,4740,3,delivery,completed,1190,60,59.5,1309.5,,11-01-2026 08:05
31,4809,3,delivery,completed,1620,60,81,1761,,11-01-2026 08:06
32,1829,3,delivery,completed,660,60,33,753,,11-01-2026 08:06
33,4503,1,delivery,completed,540,60,24.5,574.5,,11-01-2026 08:06
34,4248,3,dine_in,completed,1800,0,90,1890,,11-01-2026 08:06
35,4683,1,delivery,completed,1390,60,69.5,1519.5,,11-01-2026 08:06
36,920,1,dine_in,completed,540,0,27,567,,11-01-2026 08:07
37,677,3,delivery,completed,1500,60,75,1635,,11-01-2026 08:07
38,3357,3,delivery,completed,270,60,13.5,343.5,,11-01-2026 08:07
39,2683,1,dine_in,completed,1140,0,54.5,1144.5,,11-01-2026 08:07
40,2571,3,delivery,completed,750,60,37.5,847.5,,11-01-2026 08:07
41,2778,2,delivery,completed,840,60,42,942,,11-01-2026 08:07
42,3597,1,dine_in,completed,1160,0,55.5,1165.5,,11-01-2026 08:07
43,3390,3,dine_in,completed,150,0,7.5,157.5,,11-01-2026 08:07
44,386,2,delivery,completed,440,60,19.8,475.8,,11-01-2026 08:08
45,1773,2,dine_in,completed,900,0,41.5,871.5,,11-01-2026 08:08
46,3226,3,delivery,completed,480,60,19.2,463.2,,11-01-2026 08:08
47,4789,1,delivery,completed,930,60,44,984,,11-01-2026 08:08
48,4969,3,delivery,completed,160,50,8,218,,11-01-2026 08:08
49,3819,3,dine_in,completed,1230,0,61.5,1291.5,,11-01-2026 08:09
50,3535,2,delivery,completed,1100,50,51.5,1131.5,,11-01-2026 08:09
51,4273,2,delivery,completed,450,60,20,480,,11-01-2026 08:09
52,829,3,delivery,completed,1080,60,51.5,1141.5,,11-01-2026 08:09
53,4426,3,delivery,completed,320,50,16,386,,11-01-2026 08:10
54,4754,1,dine_in,completed,180,0,9,189,,11-01-2026 08:10
55,1011,2,delivery,completed,810,50,40.5,900.5,,11-01-2026 08:10
56,1069,2,dine_in,completed,1610,0,80.5,1690.5,,11-01-2026 08:10
57,2657,2,delivery,completed,570,60,25,585,,11-01-2026 08:10
58,758,1,delivery,completed,1510,60,75.5,1645.5,,11-01-2026 08:11
59,374,2,dine_in,completed,290,0,14.5,304.5,,11-01-2026 08:11
60,197,2,delivery,completed,230,60,11.5,301.5,,11-01-2026 08:11
61,3950,1,dine_in,completed,1280,0,64,1344,,11-01-2026 08:11
62,18,3,dine_in,completed,1330,0,66.5,1396.5,,11-01-2026 08:11
63,4403,2,dine_in,completed,640,0,29.5,619.5,,11-01-2026 08:12
64,1056,3,dine_in,completed,840,0,42,882,,11-01-2026 08:12
65,781,3,delivery,completed,1300,60,65,1425,,11-01-2026 08:12
66,1119,2,dine_in,completed,1510,0,70.5,1480.5,,11-01-2026 08:12
67,3304,1,delivery,completed,1620,60,76,1656,,11-01-2026 08:12
68,4208,3,dine_in,completed,1040,0,52,1092,,11-01-2026 08:13
69,2773,2,dine_in,completed,1550,0,72.5,1522.5,,11-01-2026 08:13
70,3392,2,dine_in,completed,1970,0,96,2016,,11-01-2026 08:13
71,632,1,delivery,completed,800,60,40,900,,11-01-2026 08:13
72,4591,3,dine_in,completed,1470,0,73.5,1543.5,,11-01-2026 08:13
73,1226,2,delivery,completed,150,60,7.5,217.5,,11-01-2026 08:14
74,3828,3,dine_in,completed,530,0,26.5,556.5,,11-01-2026 08:14
75,222,1,dine_in,completed,1560,0,78,1638,,11-01-2026 08:15
76,4555,3,delivery,completed,560,50,28,638,,11-01-2026 08:15
77,4117,3,dine_in,completed,990,0,49.5,1039.5,,11-01-2026 08:15
78,1794,2,delivery,completed,1210,60,60.5,1330.5,,11-01-2026 08:15
79,2123,1,dine_in,completed,750,0,32.5,682.5,,11-01-2026 08:16
80,3780,2,delivery,completed,630,60,26.5,616.5,,11-01-2026 08:16
81,3566,3,dine_in,completed,1320,0,62.5,1312.5,,11-01-2026 08:16
82,3323,2,dine_in,completed,1460,0,73,1533,,11-01-2026 08:16
83,389,3,dine_in,completed,370,0,18.5,388.5,,11-01-2026 08:17
84,2340,1,delivery,completed,480,60,20.5,490.5,,11-01-2026 08:17
85,4208,2,dine_in,completed,2160,0,108,2268,,11-01-2026 08:17
86,4615,3,dine_in,completed,2070,0,103.5,2173.5,,11-01-2026 08:17
87,4873,1,dine_in,completed,1530,0,74,1554,,11-01-2026 08:18
88,190,2,delivery,completed,660,60,33,753,,11-01-2026 08:19
89,1364,3,dine_in,completed,420,0,21,441,,11-01-2026 08:19
90,3742,3,dine_in,completed,1500,0,75,1575,,11-01-2026 08:20
91,3632,3,delivery,completed,2110,60,105.5,2275.5,,11-01-2026 08:20
92,1890,2,delivery,completed,1450,60,72.5,1582.5,,11-01-2026 08:20
93,2615,3,dine_in,completed,2070,0,103.5,2173.5,,11-01-2026 08:20
94,2213,1,dine_in,completed,2180,0,109,2289,,11-01-2026 08:21
95,1752,3,delivery,completed,1460,50,70.5,1530.5,,11-01-2026 08:21
96,665,3,dine_in,completed,850,0,37.5,787.5,,11-01-2026 08:21
97,184,1,delivery,completed,1540,60,72,1572,,11-01-2026 08:21
98,4578,2,dine_in,completed,1060,0,53,1113,,11-01-2026 08:21
99,1759,3,delivery,completed,1300,50,60,1310,,11-01-2026 08:21
100,4161,1,delivery,completed,1000,60,45,1005,,11-01-2026 08:21
