id,product_id,ingredient_id,quantity,unit
1,1,1,0.3,kg
2,1,14,0.02,kg
3,1,16,0.1,kg
4,2,2,0.4,kg
5,2,13,5,gram
6,2,16,0.1,kg
7,3,3,0.35,kg
8,3,16,0.1,kg
9,4,4,0.3,kg
10,4,16,0.1,kg
11,5,5,0.15,kg
12,5,6,1,piece
13,5,9,0.2,liter
14,5,15,0.02,liter
15,6,7,0.1,kg
16,6,8,0.05,kg
17,6,12,0.1,kg
18,6,9,0.15,liter
19,7,1,0.2,kg
20,7,9,0.2,liter
21,8,4,0.15,kg
22,8,9,0.2,liter
23,9,11,0.2,liter
24,9,9,0.25,liter
25,10,10,0.2,liter
26,10,9,0.25,liter
27,11,7,0.15,kg
28,11,10,0.15,liter
29,11,9,0.2,liter
30,12,10,0.2,liter
31,12,9,0.25,liter
32,13,13,10,gram
33,13,14,0.03,kg
34,13,16,0.15,kg
35,14,13,5,gram
36,14,16,0.15,kg
37,15,3,0.2,kg
38,15,16,0.15,kg
39,16,10,0.1,liter
40,16,16,0.15,kg
41,17,17,0.15,kg
42,17,18,2,piece
43,17,20,0.05,kg
44,18,17,0.1,kg
45,18,18,3,piece
46,18,19,2,piece
47,18,20,0.05,kg
48,19,1,0.1,kg
49,19,2,0.15,kg
50,19,6,1,piece
51,19,15,0.02,liter
52,20,17,0.15,kg
53,20,19,1,piece
54,20,20,0.15,kg
