id,purchase_order_id,ingredient_id,quantity,unit_price,subtotal
1,1,5,39.459,800,31567.2
2,1,18,13.478,15,202.17
3,2,8,30.214,1500,45321
4,2,1,32.45,120,3894
5,3,9,42.377,90,3813.93
6,3,1,40.352,120,4842.24
7,3,6,37.926,10,379.26
8,3,11,21.115,380,8023.7
9,4,4,24.359,250,6089.75
10,4,12,34.149,450,15367.05
11,4,2,39.189,60,2351.34
12,5,10,43.176,350,15111.6
13,5,20,45.418,200,9083.6
14,5,12,33.094,450,14892.3
15,5,3,11.833,180,2129.94
16,6,13,21.119,1.5,31.68
17,6,12,16.506,450,7427.7
18,7,6,31.366,10,313.66
19,7,8,16.536,1500,24804
20,7,13,20.798,1.5,31.2
21,7,18,18.785,15,281.77
22,8,13,20.71,1.5,31.07
23,8,7,46.525,900,41872.5
24,8,19,45.055,25,1126.38
25,9,15,15.715,800,12572
26,9,5,19.865,800,15892
27,9,18,31.559,15,473.38
28,9,19,27.137,25,678.42
29,10,17,29.741,380,11301.58
30,10,2,44.444,60,2666.64
31,11,3,25.391,180,4570.38
32,11,20,49.845,200,9969
33,11,17,20.057,380,7621.66
34,11,18,44.431,15,666.46
35,12,11,14.462,380,5495.56
36,12,14,16.326,130,2122.38
37,12,1,48.153,120,5778.36
38,13,10,43.667,350,15283.45
39,13,17,34.359,380,13056.42
40,14,1,33.958,120,4074.96
41,14,16,10.779,20,215.58
42,14,12,45.149,450,20317.05
43,14,10,19.578,350,6852.3
44,15,16,42.641,20,852.82
45,15,18,40.633,15,609.5
46,15,5,36.39,800,29112
47,15,18,16.605,15,249.08
