id,po_number,supplier_id,branch_id,status,total_amount,order_date,expected_date,received_date,,
1,PO-2026-0001,1,1,received,31769.37,3/22/2026,3/24/2026,3/24/2026,,
2,PO-2026-0002,4,1,received,49215,1/18/2026,1/20/2026,1/20/2026,,
3,PO-2026-0003,5,2,sent,17059.13,3/8/2026,3/10/2026,,,
4,PO-2026-0004,2,2,received,23808.14,2/6/2026,2/8/2026,2/8/2026,,
5,PO-2026-0005,5,1,received,41217.44,4/17/2026,4/19/2026,4/19/2026,,
6,PO-2026-0006,2,2,received,7459.38,1/31/2026,2/2/2026,2/2/2026,,
7,PO-2026-0007,3,1,received,25430.63,3/20/2026,3/22/2026,3/22/2026,,
8,PO-2026-0008,3,1,received,43029.95,3/10/2026,3/12/2026,3/12/2026,,
9,PO-2026-0009,3,1,sent,29615.8,5/18/2026,5/20/2026,,,
10,PO-2026-0010,5,2,received,13968.22,4/13/2026,4/15/2026,4/15/2026,,
11,PO-2026-0011,2,3,sent,22827.5,2/20/2026,2/22/2026,,,
12,PO-2026-0012,1,3,draft,13396.3,2/9/2026,2/11/2026,,,
13,PO-2026-0013,3,3,draft,28339.87,2/25/2026,2/27/2026,,,
14,PO-2026-0014,2,2,draft,31459.89,2/21/2026,2/23/2026,,,
15,PO-2026-0015,2,3,received,30823.4,1/31/2026,2/2/2026,2/2/2026,,
